<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2020.02.03	114.15	115.85	114.05	115.11	421	548390	1
2020.02.04	116.08	117.20	115.55	116.17	423	255060	1
2020.02.05	117.00	118.28	116.63	116.64	579	337390	1
2020.02.06	117.35	119.00	115.22	115.78	7111	540320	1
2020.02.07	115.78	115.78	114.24	114.24	1372	588670	1
2020.02.10	114.22	114.64	112.64	113.15	1768	523900	1
2020.02.11	114.00	116.10	114.00	115.97	1133	480460	1
2020.02.12	116.08	118.18	116.08	117.29	1697	446960	1
2020.02.13	116.50	116.50	115.33	116.13	3428	353790	1
2020.02.14	117.07	117.07	114.60	114.96	1372	212860	1
2020.02.17	115.68	116.24	115.22	115.78	799	233880	1
2020.02.18	115.35	115.56	114.01	115.56	3161	1023510	1
2020.02.19	115.70	117.03	115.19	116.98	648	643540	1
2020.02.20	116.98	117.05	114.85	115.15	1102	406950	1
2020.02.21	114.60	115.14	113.18	114.29	3881	1478900	1
2020.02.26	107.00	109.00	105.50	106.18	1297	1904310	1
2020.02.27	105.05	107.21	103.49	103.49	4564	4560280	1
2020.02.28	103.35	104.73	100.44	104.73	4766	7322820	1
2020.03.02	104.80	107.74	104.24	107.24	9146	2007150	1
2020.03.03	107.63	109.93	104.94	106.10	2880	2584330	1
2020.03.04	109.00	109.00	105.52	107.65	3313	2242020	1
2020.03.05	106.30	106.45	101.00	102.78	1385	2786050	1
2020.03.06	99.50	99.90	97.34	98.52	1987	3622050	1
2020.03.09	92.00	92.00	86.02	86.55	2400	4696640	1
2020.03.10	92.00	92.61	87.59	92.60	5767	6347750	1
2020.03.11	89.99	90.85	81.46	85.69	3414	5128740	1
2020.03.12	68.00	75.08	68.00	72.82	15336	11343840	1
2020.03.13	80.50	84.59	73.02	83.00	4814	2133510	1
2020.03.16	72.00	76.80	71.00	71.02	3756	1149200	1
2020.03.17	73.00	77.70	71.00	74.60	11814	6466510	1
2020.03.18	68.65	70.80	63.39	67.30	12686	6511910	1
2020.03.19	65.70	70.37	61.60	68.70	8909	3944590	1
2020.03.20	73.00	73.00	66.20	67.44	11513	5146230	1
