<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2019.10.17	113.86	114.26	113.04	114.09	534	41640	1
2019.10.18	114.10	114.50	113.35	114.00	501	31070	1
2019.10.21	114.10	115.19	113.75	115.19	1678	46760	1
2019.10.22	115.06	115.70	114.81	115.60	752	47570	1
2019.10.23	115.71	115.91	114.51	115.31	1921	518570	1
2019.10.24	115.50	115.74	113.70	114.58	1533	426340	1
2019.10.25	114.70	115.14	114.00	114.15	1170	340220	1
2019.10.28	114.17	114.84	114.00	114.40	14770	226310	1
2019.10.29	114.50	115.17	114.24	115.14	2833	232100	1
2019.10.30	115.00	116.00	114.26	116.00	618	407410	1
2019.10.31	115.80	115.80	114.90	115.57	1411	161150	1
2019.11.01	116.29	117.50	116.05	117.42	4511	185080	1
2019.11.04	117.89	118.60	117.60	118.10	1256	68740	1
2019.11.05	118.10	118.43	116.09	116.71	800	92600	1
2019.11.06	116.71	117.73	115.75	117.73	1341	1183900	1
2019.11.07	117.88	119.60	117.75	118.90	1618	192340	1
2019.11.08	118.70	118.70	116.10	116.41	2650	559490	1
2019.11.11	116.00	117.13	115.55	116.85	776	136400	1
2019.11.12	116.85	117.02	114.69	114.90	775	134270	1
2019.11.13	114.80	115.17	114.00	114.50	513	57160	1
2019.11.14	114.59	116.94	114.50	116.30	8912	557430	1
2019.11.18	117.25	117.90	116.00	116.75	2434	284320	1
2019.11.19	117.00	117.29	115.74	116.50	903	81200	1
2019.11.21	116.39	118.30	115.61	118.30	639	51670	1
2019.11.22	118.34	119.40	117.80	119.40	1049	55100	1
2019.11.25	119.68	120.05	118.92	119.69	3360	600060	1
2019.11.26	119.69	119.69	117.82	119.48	859	170240	1
2019.11.27	119.00	119.99	117.97	119.75	987	397670	1
2019.11.28	119.65	121.20	119.59	121.20	352	83760	1
2019.11.29	121.19	121.99	120.01	121.20	1581	375470	1
2019.12.02	121.50	122.17	120.88	121.00	1834	163510	1
2019.12.03	121.01	121.79	120.01	121.20	521	48830	1
2019.12.04	121.50	122.13	121.40	121.70	904	98470	1
2019.12.05	121.99	122.40	121.60	122.12	1695	109140	1
2019.12.06	122.15	124.05	122.15	123.60	478	93030	1
2019.12.09	124.30	125.78	123.70	124.85	2567	256640	1
2019.12.10	124.80	124.80	123.98	124.42	518	47800	1
2019.12.11	125.30	126.45	125.00	126.45	591	162260	1
2019.12.12	126.80	127.99	126.80	127.59	826	148380	1
2019.12.13	127.93	129.75	127.48	129.75	2777	251410	1
2019.12.16	130.19	131.40	130.00	131.00	2403	282730	1
2019.12.17	131.70	131.77	129.43	129.70	5541	516410	1
2019.12.18	129.98	131.38	129.80	130.21	1288	273100	1
2019.12.19	130.50	133.22	130.50	132.50	3170	500930	1
2019.12.20	133.01	133.94	131.78	133.20	2997	380090	1
2019.12.23	133.23	134.75	133.07	134.58	2483	244670	1
2019.12.26	135.01	137.97	135.01	136.81	2905	472680	1
2019.12.27	137.80	137.97	135.98	136.95	1483	690670	1
2019.12.30	137.05	137.55	136.24	136.44	1230	300650	1
2020.01.02	138.00	139.50	138.00	139.50	5757	631240	1
2020.01.03	138.00	140.90	137.13	140.90	2746	401120	1
2020.01.06	139.00	139.66	137.00	139.10	4112	418470	1
2020.01.07	139.50	139.71	138.18	139.40	1724	160520	1
2020.01.08	139.41	139.79	137.70	138.20	1242	555410	1
2020.01.09	138.72	139.59	138.49	138.80	5269	1060820	1
2020.01.10	139.99	140.91	138.95	139.40	1959	1023080	1
2020.01.13	139.81	141.90	139.81	141.90	1010	564260	1
2020.01.14	141.77	143.20	141.17	143.20	8194	272920	1
2020.01.15	143.50	143.68	142.11	142.50	5267	407970	1
2020.01.16	143.00	144.00	142.02	142.50	8484	246480	1
2020.01.17	143.65	144.00	142.35	143.40	5643	337350	1
2020.01.20	143.40	145.72	143.01	145.72	3149	596640	1
2020.01.21	145.00	145.72	144.03	144.03	3960	1151150	1
2020.01.22	145.77	146.29	144.38	146.29	10035	2858830	1
2020.01.23	145.45	147.30	144.00	146.70	3924	765560	1
2020.01.24	146.90	147.67	145.15	145.15	3390	239740	1
2020.01.27	142.39	142.90	140.01	140.47	4329	1029800	1
2020.01.28	141.20	143.65	141.20	142.60	5517	1155190	1
2020.01.29	143.45	144.35	141.03	141.37	3188	773310	1
2020.01.30	139.60	139.79	136.12	138.91	9607	1099300	1
2020.01.31	137.77	138.99	136.55	136.91	2529	350950	1
2020.02.03	136.90	140.33	136.61	139.59	11103	727100	1
2020.02.04	141.84	144.49	141.22	141.43	11041	705110	1
2020.02.05	143.00	143.64	141.71	141.90	3112	483280	1
2020.02.06	142.80	143.47	139.31	139.40	3525	490970	1
2020.02.07	137.30	139.40	135.90	135.90	13916	648070	1
2020.02.10	135.70	136.86	131.79	132.20	16106	2403760	1
2020.02.11	133.95	136.84	133.44	136.12	16836	1104490	1
2020.02.12	137.00	139.32	136.80	138.10	7650	995050	1
2020.02.13	136.40	138.31	135.51	138.15	4325	404510	1
2020.02.14	138.10	139.45	136.76	137.50	3865	679760	1
2020.02.17	138.62	139.03	137.43	138.95	3289	437380	1
2020.02.18	138.00	139.41	137.47	138.80	1800	209710	1
2020.02.19	139.30	141.89	138.85	141.00	3975	484840	1
2020.02.20	141.38	141.85	139.28	139.55	5220	1675770	1
2020.02.21	139.38	139.38	137.57	139.29	5075	750420	1
2020.02.26	132.90	132.90	128.25	129.11	7947	1706070	1
2020.02.27	128.99	130.11	124.22	125.07	20638	3002460	1
2020.02.28	124.00	125.90	119.91	125.90	16278	1846130	1
2020.03.02	125.90	130.98	125.90	130.00	29870	1074660	1
